Sample,Family ID,Population,Population Description,Gender,Relationship,Unexpected Parent/Child ,Non Paternity,Siblings,Grandparents,Avuncular,Half Siblings,Unknown Second Order,Third Order,Other Comments
HG03132,NG37,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03133,NG37,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03135,NG38,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03136,NG38,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03139,NG39,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03157,NG45,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03159,NG46,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03160,NG46,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03162,NG47,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03163,NG47,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03166,NG48,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03168,NG49,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03169,NG49,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03171,HG03171,ESN,Esan in Nigeria,female,unrel,,,,,,,,,
HG03172,NG50,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03175,NG51,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03189,NG56,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03190,NG56,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03193,NG57,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03195,NG58,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03196,NG58,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03198,NG59,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03199,NG59,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03202,NG60,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03209,SL17,MSL,Mende in Sierra Leone,male,child,,,,,,,,,
HG03212,SL18,MSL,Mende in Sierra Leone,female,child,,,,,,,,,
HG03224,SL22,MSL,Mende in Sierra Leone,male,child,,,,,,,,,
HG03225,SL23,MSL,Mende in Sierra Leone,male,father,,,,,,,,,
HG03228,PK38,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,HG03229,
HG03229,PK38,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,HG03228,
HG03234,PK40,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG03235,PK40,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG03237,PK41,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG03238,PK41,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG03240,GB114,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG03241,GB114,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG03246,GB116,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG03247,GB116,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG03258,GB120,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG03259,GB120,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG03265,NG63,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03267,NG64,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03268,NG64,ESN,Esan in Nigeria,male,father,,,,,,,,HG03271,
HG03270,NG65,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03271,NG65,ESN,Esan in Nigeria,male,father,,,,,,,,HG03268,
HG03279,NG68,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03280,NG68,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03291,NG72,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03294,NG73,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03295,NG73,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03297,NG74,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03298,NG74,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03300,NG75,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03301,NG75,ESN,Esan in Nigeria,male,father,,,,,,,,HG03372,
HG03303,NG76,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03304,NG76,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03311,NG78,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03313,NG79,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03342,NG89,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03343,NG89,ESN,Esan in Nigeria,male,father,,,,,,,,HG03352,
HG03351,NG92,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03352,NG92,ESN,Esan in Nigeria,male,father,,,,,,,,"HG03366, HG03343",
HG03354,NG93,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03363,NG96,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03366,NG97,ESN,Esan in Nigeria,female,mother,,,,,,,,HG03352,
HG03367,NG97,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03369,NG98,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03370,NG98,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03372,NG99,ESN,Esan in Nigeria,female,mother,,,,,,,,HG03301,
HG03376,SL24,MSL,Mende in Sierra Leone,male,father,,,,,,,HG03402,,
HG03378,HG03378,MSL,Mende in Sierra Leone,female,unrel,,,,,,,,,
HG03380,SL25,MSL,Mende in Sierra Leone,female,mother,,,,,,,,HG03383,
HG03382,SL26,MSL,Mende in Sierra Leone,male,father,,,,,,,,,
HG03385,SL27,MSL,Mende in Sierra Leone,male,father,,,,,,,,,
HG03388,SL28,MSL,Mende in Sierra Leone,male,father,,,,,,,,,
HG03391,SL29,MSL,Mende in Sierra Leone,male,father,,,,,,,,,
HG03393,HG03393,MSL,Mende in Sierra Leone,female,unrel,,,,,,,,,
HG03394,SL30,MSL,Mende in Sierra Leone,male,father,,,,,,,,,
HG03397,HG03397,MSL,Mende in Sierra Leone,male,unrels,,,,,,,,,
HG03398,HG03398,MSL,Mende in Sierra Leone,female,unrels,,,,,,,,,
HG03401,SL32,MSL,Mende in Sierra Leone,female,mother,,,,,,,,,
HG03410,SL35,MSL,Mende in Sierra Leone,female,mother,,,,,,,,,
HG03419,SL38,MSL,Mende in Sierra Leone,female,mother,,,,,,,,,
HG03428,SL42,MSL,Mende in Sierra Leone,female,mother,,,,,,,,HG03457,
HG03431,HG03431,MSL,Mende in Sierra Leone,female,unrel,,,,,,,,,
HG03432,HG03432,MSL,Mende in Sierra Leone,male,unrel,,,,,,,,,
HG03433,HG03433,MSL,Mende in Sierra Leone,male,unrel,,,,,,,,,
HG03436,HG03436,MSL,Mende in Sierra Leone,male,unrels,,,,,,,,,
HG03437,HG03437,MSL,Mende in Sierra Leone,female,unrels,,,,,,,,,
HG03439,SL46,MSL,Mende in Sierra Leone,male,father,,,,,,,,,
HG03442,HG03442,MSL,Mende in Sierra Leone,male,unrel,,,,,,,,,
HG03445,HG03445,MSL,Mende in Sierra Leone,male,unrels,,,,,,,,,
HG03446,HG03446,MSL,Mende in Sierra Leone,female,unrels,,,,,,,,,
HG03449,SL49,MSL,Mende in Sierra Leone,female,mother,,,,,,,,,
HG03451,SL50,MSL,Mende in Sierra Leone,male,father,,,HG03468,,,,,,
HG03452,SL50,MSL,Mende in Sierra Leone,female,mother,,,,,,,,,
HG03455,SL51,MSL,Mende in Sierra Leone,female,mother,,,,,,,,HG03457,
HG03457,HG03457,MSL,Mende in Sierra Leone,male,unrel,,,,,,,,,
HG03458,SL52,MSL,Mende in Sierra Leone,female,mother,,,,,,,,,
HG03460,HG03460,MSL,Mende in Sierra Leone,male,unrels,,,,,,,,,
HG03461,HG03461,MSL,Mende in Sierra Leone,female,unrels,,,,,,,,,
HG03462,HG03462,MSL,Mende in Sierra Leone,male,unrel,,,,,,,,,
HG03464,SL54,MSL,Mende in Sierra Leone,female,mother,,,,,,,,HG03484,
HG03469,SL56i,MSL,Mende in Sierra Leone,male,father,,,,,,,,,
HG03470,SL56,MSL,Mende in Sierra Leone,female,mother,,,,,,,,"HG03480, HG03484",
HG03472,HG03472,MSL,Mende in Sierra Leone,male,unrel,,,,,,,,,
HG03473,SL57,MSL,Mende in Sierra Leone,female,mother,,,,,,,,,
HG03476,SL58,MSL,Mende in Sierra Leone,female,mother,,,,,,,,,
HG03478,SL59,MSL,Mende in Sierra Leone,male,father,,,,,,,,,
HG03479,SL59,MSL,Mende in Sierra Leone,female,mother,,,,,,,,,
HG03484,SL61,MSL,Mende in Sierra Leone,male,father,,,,,,,,"HG03478, HG03469, HG03480",
HG03485,SL61,MSL,Mende in Sierra Leone,female,mother,,,,,,,,,
HG03488,PK42,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG03490,PK43,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG03491,PK43,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG03499,NG102,ESN,Esan in Nigeria,female,,,,,,,,,,
HG03511,NG106,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03514,NG107,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03515,NG107,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03517,NG108,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03518,NG108,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03520,NG109,ESN,Esan in Nigeria,female,mother,,,,,,,,,
HG03521,NG109,ESN,Esan in Nigeria,male,father,,,,,,,,,
HG03538,GB125,GWD,"Gambian in Western Division, The Gambia",male,father,,,,,,,,,
HG03539,GB125,GWD,"Gambian in Western Division, The Gambia",female,mother,,,,,,,,,
HG03547,HG03547,MSL,Mende in Sierra Leone,male,unrels,,,,,,,,HG03566,
HG03548,HG03548,MSL,Mende in Sierra Leone,female,unrels,,,,,,,,,
HG03549,HG03549,MSL,Mende in Sierra Leone,female,unrel,,,,,,,,,
HG03556,HG03556,MSL,Mende in Sierra Leone,male,unrels,,,,,,,,HG03574,
HG03557,HG03557,MSL,Mende in Sierra Leone,female,unrels,,,,,,,,,
HG03558,HG03558,MSL,Mende in Sierra Leone,female,unrel,,,,,,,,,
HG03559,SL66,MSL,Mende in Sierra Leone,male,father,,,,,,,,,
HG03563,SL67,MSL,Mende in Sierra Leone,female,mother,,,,,,,,,
HG03565,HG03565,MSL,Mende in Sierra Leone,male,unrel,,,,,,,,,
HG03567,HG03567,MSL,Mende in Sierra Leone,female,unrel,,,,,,,,,
HG03571,SL70,MSL,Mende in Sierra Leone,male,father,,,,,,,,,
HG03572,SL70,MSL,Mende in Sierra Leone,female,mother,,,,,,,,,
HG03575,SL71,MSL,Mende in Sierra Leone,female,mother,,,,,,,,,
HG03577,SL72,MSL,Mende in Sierra Leone,male,father,,,,,,,,,
HG03578,SL72,MSL,Mende in Sierra Leone,female,mother,,,,,,,,,
HG03583,SL73,MSL,Mende in Sierra Leone,female,mother,,,,,,,,,
HG03585,BD4,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG03589,BD05,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG03593,BD6,BEB,Bengali in Bangladesh,male,child,,,,,,,,,
HG03594,BD7,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG03595,BD7,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG03598,BD8,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG03600,BD09,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG03603,BD10,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG03604,BD10,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG03607,BD11,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG03611,BD12,BEB,Bengali in Bangladesh,female,child,,,,,,,,,
HG03615,BD14,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG03616,BD14,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG03619,PK44,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG03624,PK46,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG03625,PK46,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG03629,PK47,PJL,"Punjabi in Lahore,Pakistan",male,child,,,,,,,,,
HG03631,PK48,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG03634,PK49,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG03636,PK50,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG03640,PK51,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG03642,ST006,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03643,ST004,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03644,ST004,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03645,ST002,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03646,ST001,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03649,PK52,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG03652,PK53,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG03653,PK53,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG03660,PK55,PJL,"Punjabi in Lahore,Pakistan",male,child,,,,,,,,,
HG03663,PK56,PJL,"Punjabi in Lahore,Pakistan",male,child,,,,,,,,,
HG03667,PK58,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG03668,PK58,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG03672,ST008,STU,Sri Lankan Tamil in the UK,male,husband of Child,,,,,,,,,
HG03673,ST010,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03679,ST006,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03680,ST009,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03681,ST011,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03684,ST012,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03685,ST013,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03686,ST014,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03687,ST015,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03689,ST017,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03690,ST018,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03691,ST019,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03692,ST020,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03693,ST021,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03694,ST022,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03695,ST023,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03696,ST024,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03697,ST025,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03698,ST026,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03702,PK60,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG03703,PK60,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG03705,PK61,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,HG02687,
HG03706,PK61,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG03708,PK62,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG03709,PK62,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG03711,ST027,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03713,IT001,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03714,IT009,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG03716,IT009,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03717,IT010,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG03718,IT010,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03720,IT052,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03722,IT002,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG03727,IT003,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03729,IT013,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03730,IT011,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG03731,IT013,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG03733,ST041,STU,Sri Lankan Tamil in the UK,female,child,,,,,,,,,
HG03736,ST043,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03738,ST044,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03740,ST038,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03741,ST038,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03742,IT015,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03743,ST046,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03744,ST047,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03745,ST049,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03746,ST050,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03750,ST051,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03752,ST053,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03753,ST054,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03754,ST051,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03755,ST052,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03756,ST052,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03757,ST046,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03760,ST058,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03762,PK63,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG03765,PK64,PJL,"Punjabi in Lahore,Pakistan",female,mother,,,,,,,,,
HG03767,PK65,PJL,"Punjabi in Lahore,Pakistan",male,father,,,,,,,,,
HG03770,IT016,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG03771,IT016,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03772,IT004,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG03773,IT004,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03774,IT020,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG03775,IT020,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03777,IT022,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03778,IT21,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03779,IT019,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03780,IT039,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG03781,IT018,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG03782,IT029,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG03784,IT023,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG03785,IT024,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03786,IT023,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03787,IT027,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG03788,IT028,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03789,IT028,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG03790,IT025,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03792,IT026,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03793,BD15,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG03796,BD16,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG03800,BD17,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG03802,BD18,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG03803,BD18,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG03805,BD19,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG03808,BD20,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG03809,BD20,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG03812,HG03812,BEB,Bengali in Bangladesh,male,unrel,,,,,,,,,
HG03814,BD22,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG03815,BD22,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG03817,BD23,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG03821,BD24,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG03823,BD25,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG03824,BD25,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG03826,BD26,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG03829,BD27,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG03830,BD27,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG03832,BD28,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG03833,BD28,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG03836,ST074,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03837,ST079,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03838,ST078,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03844,ST075,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03846,ST080,STU,Sri Lankan Tamil in the UK,male,child,,,,,,,,,
HG03848,ST084,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03849,ST082,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03850,ST082,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03851,ST089,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03854,ST094,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03856,ST092,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03857,ST091,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03858,ST090,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03861,IT032,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG03862,IT035,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG03863,IT033,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG03864,IT034,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03866,IT030,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03867,IT038,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03868,IT5,ITU,Indian Telugu in the UK,female,child,,,,,,,,,
HG03869,IT035,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03870,IT037,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03871,HG03871,ITU,Indian Telugu in the UK,male,unrel,,,,,,,,,
HG03872,IT036,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03873,IT030,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG03874,IT006,ITU,Indian Telugu in the UK,female,mother,,,,,,,,,
HG03875,IT40,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03882,IT039a,ITU,Indian Telugu in the UK,female,wife of child,,,,,,,,,
HG03884,ST039,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03885,ST016,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03886,ST016,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03887,ST106,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03888,ST050,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03890,ST110,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03894,ST111,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03895,ST107,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03896,ST111,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03897,ST115,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03898,ST114,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03899,ST114,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03900,ST115,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03902,HG03902,BEB,Bengali in Bangladesh,male,unrel,,,,,,,,,
HG03905,BD30,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG03907,BD31,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG03908,BD31,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG03910,BD32,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG03911,BD32,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG03913,BD33,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG03914,BD33,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG03916,HG03916,BEB,Bengali in Bangladesh,female,unrel,,,,,,,,,
HG03917,BD34,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG03919,BD35,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG03920,BD35,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG03922,BD36,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG03925,BD37,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG03926,BD37,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG03928,BD38,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG03931,BD39,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG03934,BD40,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG03937,BD41,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG03940,BD42,BEB,Bengali in Bangladesh,female,mother,,,,,,,,,
HG03941,BD42,BEB,Bengali in Bangladesh,male,father,,,,,,,,,
HG03943,ST116,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03944,ST116,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03945,ST117,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03947,ST118,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03949,ST123,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03950,ST090,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03951,ST013,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03953,ST122,STU,Sri Lankan Tamil in the UK,male,father,,,,,,,,,
HG03955,ST119,STU,Sri Lankan Tamil in the UK,female,mother,,,,,,,,,
HG03960,IT044,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03963,IT042,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03965,IT45,ITU,Indian Telugu in the UK,male,father,,,,,,,,,
HG03967,IT51,ITU,Indian Telugu in the UK,male,,,,,,,,,,
